productId;itemName;action;field;oldValue;newValue;oldSku;oldLocation;oldQuantity;oldPrice;oldLength;oldWidth;oldHeight;oldVolume;oldWeight
1895;2 pack x Activheal Alginate 5cm x 5cm Dressing 10 pcs;DELETED;;;;ZW-D479;ZW-D479;1;;;;;;
1887;CARMOUNT 2 Pack F1 Magnetic Phone Holder for Car Dashboard;DELETED;;;;ZW-F219;ZW-F219;1;;;;;;
1886;Akitas S12 Corded Vacuum Cleaner;DELETED;;;;ZW-A126Z;ZW-A126Z;1;;;;;;
1883;GSPSCN Silver Dual Cylinder 12V Air Compressor Pump for Car 150PSI LED Lights;DELETED;;;;ZW-K520;ZW-K520;1;;;;;;
1880;Caseology Skyfall for Galaxy S23 Ultra Case 5G Lilac Purple ACS05988;DELETED;;;;ZW-F425-D;ZW-F425-D;1;;;;;;
1875;Macook Dual Mode Rice Cooker and Food Steamer Removable Nonstick Pot 1L PURPLE;DELETED;;;;ZW-L223;ZW-L223;1;;;;;;
1869;PIR Motion Sensor LED Bulbs E27 12W Warm White 3000K 1000LM;DELETED;;;;ZW-C495;ZW-C495;1;;;;;;
1868;The Getaway [Blu-ray];DELETED;;;;ZW-D279;ZW-D279;1;;;;;;
1862;ZigBee Power Strip Surge Protector Smart Extension Lead 4 Way 4 USB SM-SO301-KZ;DELETED;;;;ZW-Q82;ZW-Q82;1;;;;;;
1857;Absolute Aromas Eucalyptus Essential Oil 100ml 100% Pure Natural;DELETED;;;;ZW-E508;ZW-E508;1;;;;;;
1846;Ascrono Macbook Dock for Pro 14 M1 M2 M3 & M4 Pro/Max (2021-2024) Type C;DELETED;;;;ZW-B262;ZW-B262;1;;;;;;
1841;NOOIE Smart Plug 13A WiFi with Alexa and Google Home 2.4 GHz Wi-Fi Only(4 Packs);DELETED;;;;ZW-A260;ZW-A260;1;;;;;;
1840;Ducray Keracnyl PP+ Blemish Cream 30ml;DELETED;;;;ZW-C404;ZW-C404;1;;;;;;
